sum,cmy,label,label_30
22.6,14.54,1500,5
16.39,10.75,1000,14
16.240000000000002,10.5,1000,14
0.06,0.0,500,19
91.65,68.44,2000,11
0.06,0.0,500,19
5.949999999999999,1.56,500,3
4.050000000000001,1.4300000000000002,500,28
16.98,10.21,1000,14
18.3,11.259999999999998,1500,22
16.38,10.2,1000,26
16.3,10.4,1000,14
20.8,13.549999999999999,1500,18
20.34,13.46,1500,18
21.29,13.59,1500,5
20.68,13.59,1500,18
21.55,14.41,1500,5
21.19,14.450000000000001,1500,5
20.41,13.52,1500,18
19.8,13.33,1500,18
20.36,13.5,1500,18
20.1,13.57,1500,18
61.58,42.45,2000,8
0.06,0.0,500,19
5.97,1.7,500,3
6.02,1.71,500,3
6.39,1.76,500,3
6.98,1.82,500,3
6.199999999999999,1.73,500,3
2.36,1.2,500,16
16.03,10.67,1000,14
16.73,11.48,1000,14
15.880000000000004,11.010000000000002,1000,14
10.74,7.44,750,0
19.01,12.75,1500,1
19.92,13.51,1500,18
18.14,12.62,1500,1
13.65,9.89,1000,6
12.88,9.02,1000,12
14.6,10.1,1000,6
14.489999999999998,10.11,1000,6
22.34,14.71,1500,5
19.62,13.0,1500,1
11.8,8.350000000000001,750,0
12.75,8.73,1000,12
12.59,8.59,1000,12
15.39,10.440000000000001,1000,26
15.37,10.47,1000,26
15.34,10.66,1000,26
15.37,10.719999999999999,1000,26
16.27,10.74,1000,14
16.240000000000002,10.620000000000001,1000,14
16.98,11.16,1000,14
17.21,11.2,1000,14
20.8,13.379999999999999,1500,18
20.62,13.36,1500,18
13.17,9.25,1000,12
20.65,13.55,1500,18
10.6,7.05,750,0
20.6,13.68,1500,18
77.5,65.53999999999999,2000,24
0.06,0.0,500,19
6.859999999999999,2.1,500,3
6.44,1.76,500,3
6.4,2.04,500,3
3.05,1.29,500,16
15.93,10.280000000000001,1000,26
9.48,5.96,750,10
11.93,7.359999999999999,750,0
16.23,10.260000000000002,1000,26
16.25,10.05,1000,26
15.93,9.54,1000,26
16.41,9.92,1000,26
14.69,9.4,1000,6
9.67,6.13,750,10
18.97,11.979999999999999,1500,1
19.46,12.45,1500,1
15.75,9.36,1000,26
17.25,10.36,1000,14
11.52,7.49,750,0
10.72,6.85,750,0
16.979999999999997,10.209999999999999,1000,14
19.06,12.209999999999999,1500,1
18.79,11.940000000000001,1500,1
18.78,12.29,1500,1
18.32,11.81,1500,22
11.81,7.58,750,0
15.85,10.06,1000,26
13.79,8.52,1000,12
10.44,7.07,750,0
9.83,6.57,750,10
10.33,6.58,750,10
18.91,12.64,1500,1
17.66,11.530000000000001,1500,22
16.36,10.799999999999999,1000,14
16.67,10.620000000000001,1000,14
17.130000000000003,11.15,1000,14
0.06,0.0,500,19
61.17,46.339999999999996,2000,8
0.06,0.0,500,19
5.8,1.54,500,3
5.18,1.5899999999999999,500,28
6.85,1.68,500,3
7.12,1.84,500,3
5.74,1.5499999999999998,500,3
6.42,1.75,500,3
15.18,9.76,1000,26
12.12,8.17,750,0
16.189999999999998,9.85,1000,26
12.92,8.18,1000,12
24.16,16.86,1500,25
24.05,16.97,1500,25
23.910000000000004,16.92,1500,25
24.18,17.17,1500,25
23.83,16.86,1500,25
24.11,17.09,1500,25
23.860000000000003,16.92,1500,25
24.05,17.0,1500,25
23.82,16.810000000000002,1500,25
11.3,7.550000000000001,750,0
10.26,7.07,750,0
10.52,7.23,750,0
10.29,7.08,750,0
9.36,6.32,750,10
9.74,6.23,750,10
9.78,6.22,750,10
16.53,10.24,1000,26
16.37,10.49,1000,14
16.06,10.27,1000,26
8.76,5.9,750,10
15.72,10.02,1000,26
9.1,6.16,750,10
12.21,7.82,750,0
11.82,8.14,750,0
26.65,18.02,1500,4
21.01,13.67,1500,5
21.56,14.9,1500,5
21.37,13.91,1500,5
25.98,17.58,1500,4
22.09,14.07,1500,5
27.19,18.54,1500,4
21.21,14.08,1500,5
25.9,17.45,1500,4
24.6,15.71,1500,25
26.23,17.71,1500,4
23.74,15.649999999999999,1500,25
27.910000000000004,18.92,1500,4
25.69,17.13,1500,4
24.590000000000003,16.900000000000002,1500,25
22.89,15.64,1500,13
23.92,16.17,1500,25
20.47,13.14,1500,18
21.44,13.940000000000001,1500,5
17.47,10.89,1000,14
9.8,6.57,750,10
20.43,13.299999999999999,1500,18
15.420000000000002,10.31,1000,26
0.06,0.0,500,19
102.64,72.74000000000001,2000,23
0.06,0.0,500,19
7.010000000000001,2.0300000000000002,500,3
6.029999999999999,1.68,500,3
3.61,1.58,500,16
18.49,11.54,1500,22
17.630000000000003,11.290000000000001,1500,22
19.05,12.42,1500,1
18.76,12.65,1500,1
19.12,12.41,1500,1
18.76,12.64,1500,1
19.25,12.43,1500,1
18.74,12.63,1500,1
19.27,11.77,1500,1
19.55,12.030000000000001,1500,1
19.37,11.8,1500,1
18.45,12.01,1500,22
