k,sum,cmy,label,old_label
6.66,21.56,22.35,1500,12
7.46,21.37,20.865000000000002,1500,15
8.4,25.98,26.369999999999997,1500,17
8.02,22.09,21.105,1500,16
8.65,27.19,27.81,1500,17
7.13,21.21,21.12,1500,3
8.45,25.9,26.174999999999997,1500,17
8.89,24.6,23.565,1500,17
8.52,26.23,26.565,1500,17
8.09,23.74,23.474999999999998,1500,16
8.99,27.910000000000004,28.380000000000003,1500,17
8.56,25.69,25.695,1500,17
7.69,24.590000000000003,25.35,1500,5
7.25,22.89,23.46,1500,5
7.75,23.92,24.255000000000003,1500,16
7.33,20.47,19.71,1500,15
7.5,21.44,20.910000000000004,1500,15
6.58,17.47,16.335,1500,8
3.23,9.8,9.855,750,18
7.13,20.43,19.95,1500,3
5.11,15.420000000000002,15.465,1000,39
0.06,0.06,0.0,500,27
29.9,102.64,109.11000000000001,2000,32
0.06,0.06,0.0,500,27
4.98,7.010000000000001,3.0450000000000004,500,37
4.35,6.029999999999999,2.52,500,29
2.03,3.61,2.37,500,25
6.95,18.49,17.31,1500,3
6.34,17.630000000000003,16.935000000000002,1500,8
6.63,19.05,18.63,1500,8
6.11,18.76,18.975,1500,1
6.71,19.12,18.615000000000002,1500,3
6.12,18.76,18.96,1500,1
6.82,19.25,18.645,1500,3
6.11,18.74,18.945,1500,1
7.5,19.27,17.655,1500,3
7.52,19.55,18.045,1500,3
7.57,19.37,17.700000000000003,1500,3
6.44,18.45,18.015,1500,8
6.35,18.17,17.73,1500,8
6.55,18.63,18.119999999999997,1500,8
5.1,16.22,16.68,1500,0
4.69,14.170000000000002,14.22,1000,38
4.28,13.27,13.485,1000,38
4.36,13.6,13.86,1000,38
4.56,13.11,12.825000000000001,1000,38
6.48,18.380000000000003,17.85,1500,8
0.06,0.06,0.0,500,27
19.38,62.55,64.755,2000,23
0.06,0.06,0.0,500,27
4.94,6.61,2.505,500,37
2.03,3.37,2.01,500,25
6.41,17.57,16.740000000000002,1500,8
4.42,13.82,14.099999999999998,1000,38
4.43,13.74,13.965,1000,38
5.21,14.47,13.89,1000,19
5.25,14.43,13.77,1000,19
5.01,13.77,13.14,1000,19
4.91,14.19,13.920000000000002,1000,19
4.88,13.579999999999998,13.049999999999999,1000,19
4.85,14.13,13.920000000000002,1000,19
7.15,18.21,16.59,1500,3
7.13,18.22,16.634999999999998,1500,3
5.1,15.35,15.375,1000,39
4.94,14.85,14.865,1000,39
5.03,15.0,14.954999999999998,1000,39
5.45,15.579999999999998,15.194999999999999,1000,11
5.62,15.88,15.39,1000,11
5.64,16.07,15.645,1000,11
5.26,15.52,15.39,1000,39
5.32,15.71,15.585,1000,11
5.32,15.56,15.36,1000,11
5.7,16.31,15.915,1000,11
5.51,15.74,15.345,1000,11
5.22,15.239999999999998,15.03,1000,39
5.39,15.93,15.809999999999999,1000,11
5.8,16.2,15.600000000000001,1000,9
5.69,16.41,16.08,1000,11
5.45,15.68,15.345,1000,11
5.17,15.47,15.450000000000001,1000,39
5.22,15.349999999999998,15.194999999999999,1000,39
5.13,15.37,15.36,1000,39
5.31,15.72,15.615,1000,11
5.49,15.97,15.72,1000,11
5.38,15.580000000000002,15.3,1000,11
5.46,15.46,15.0,1000,11
4.88,14.81,14.895,1000,39
6.93,17.27,15.51,1000,30
6.9,17.32,15.629999999999999,1000,30
6.19,16.130000000000003,14.910000000000002,1000,9
6.27,16.68,15.615,1000,9
5.83,17.68,17.775,1500,0
8.12,25.91,26.685,1500,16
9.05,27.67,27.93,1500,17
6.27,21.12,22.275000000000002,1500,12
4.45,13.54,13.635,1000,38
